node,t,k,value
dena21,2,5,733.6
dena21,3,5,730.6
dena21,4,5,744.3
dena21,5,5,774.6
dena21,6,5,828.8
dena21,7,5,921.2
dena21,8,5,974.2
dena21,9,5,993.7
dena21,10,5,1017.5
dena21,11,5,1038.9
dena21,12,5,1033.6
dena21,13,5,1005.8
dena21,14,5,978.4
dena21,15,5,968.8
dena21,16,5,998.2
dena21,17,5,1039.4
dena21,18,5,1027.2
dena21,19,5,984.0
dena21,20,5,920.4
dena21,21,5,883.9
dena21,22,5,869.6
dena21,23,5,802.8
dena21,24,5,738.2
dena21,1,6,695.9
dena21,2,6,674.3
dena21,3,6,670.5
dena21,4,6,671.4
dena21,5,6,655.3
dena21,6,6,637.0
dena21,7,6,671.7
dena21,8,6,716.5
dena21,9,6,763.8
dena21,10,6,806.0
dena21,11,6,834.2
dena21,12,6,827.1
dena21,13,6,801.4
dena21,14,6,772.6
dena21,15,6,769.9
dena21,16,6,813.9
dena21,17,6,875.6
dena21,18,6,876.4
dena21,19,6,849.0
dena21,20,6,792.0
dena21,21,6,769.6
dena21,22,6,767.6
dena21,23,6,709.7
dena21,24,6,651.3
dena21,1,7,612.8
dena21,2,7,590.2
dena21,3,7,582.7
dena21,4,7,592.5
dena21,5,7,581.4
dena21,6,7,556.0
dena21,7,7,579.0
dena21,8,7,619.2
dena21,9,7,669.5
dena21,10,7,709.6
dena21,11,7,762.0
dena21,12,7,761.3
dena21,13,7,729.1
dena21,14,7,707.7
dena21,15,7,707.5
dena21,16,7,744.2
dena21,17,7,834.4
dena21,18,7,863.6
dena21,19,7,847.6
dena21,20,7,812.3
dena21,21,7,799.5
dena21,22,7,809.9
dena21,23,7,748.3
dena21,24,7,688.6
dena21,1,8,659.0
dena21,2,8,656.8
dena21,3,8,668.7
dena21,4,8,686.9
dena21,5,8,736.9
dena21,6,8,851.5
dena21,7,8,984.4
dena21,8,8,1031.4
dena21,9,8,1038.3
dena21,10,8,1052.9
dena21,11,8,1074.5
dena21,12,8,1068.1
dena21,13,8,1058.4
dena21,14,8,1035.9
dena21,15,8,1020.5
dena21,16,8,1027.6
dena21,17,8,1074.8
dena21,18,8,1071.5
dena21,19,8,1040.1
dena21,20,8,968.6
dena21,21,8,929.4
dena21,22,8,896.9
dena21,23,8,811.4
dena21,24,8,745.5
dena21,1,9,714.8
dena21,2,9,704.1
dena21,3,9,711.4
dena21,4,9,736.2
dena21,5,9,774.0
dena21,6,9,887.4
dena21,7,9,1004.1
dena21,8,9,1054.6
dena21,9,9,1050.8
dena21,10,9,1068.0
dena21,11,9,1086.1
dena21,12,9,1076.7
dena21,13,9,1068.4
dena21,14,9,1057.8
dena21,15,9,1049.2
dena21,16,9,1062.3
dena21,17,9,1110.2
dena21,18,9,1108.5
dena21,19,9,1075.2
dena21,20,9,1006.5
dena21,21,9,958.7
dena21,22,9,924.6
dena21,23,9,839.6
dena21,24,9,771.0
dena21,1,10,735.1
dena21,2,10,720.8
dena21,3,10,729.7
dena21,4,10,753.9
dena21,5,10,798.3
dena21,6,10,906.4
dena21,7,10,1020.5
dena21,8,10,1050.4
dena21,9,10,1035.3
dena21,10,10,1042.9
dena21,11,10,1059.1
dena21,12,10,1044.9
dena21,13,10,1039.7
dena21,14,10,1030.0
dena21,15,10,1024.8
dena21,16,10,1049.9
dena21,17,10,1113.8
dena21,18,10,1109.2
dena21,19,10,1073.7
dena21,20,10,1011.3
dena21,21,10,974.6
dena21,22,10,938.4
dena21,23,10,850.1
dena21,24,10,800.0
dena21,1,11,770.8
dena21,2,11,760.1
dena21,3,11,767.3
dena21,4,11,779.6
dena21,5,11,815.5
dena21,6,11,913.2
dena21,7,11,1025.9
dena21,8,11,1059.5
dena21,9,11,1058.7
dena21,10,11,1072.1
dena21,11,11,1094.6
dena21,12,11,1091.9
dena21,13,11,1090.3
dena21,14,11,1085.6
dena21,15,11,1087.5
dena21,16,11,1095.9
dena21,17,11,1143.8
dena21,18,11,1126.9
dena21,19,11,1090.3
dena21,20,11,1026.6
dena21,21,11,984.9
dena21,22,11,944.4
dena21,23,11,868.2
dena21,24,11,808.7
dena21,1,12,777.3
dena21,2,12,766.3
dena21,3,12,772.7
dena21,4,12,793.0
dena21,5,12,826.1
dena21,6,12,927.0
dena21,7,12,1041.5
dena21,8,12,1070.8
dena21,9,12,1059.6
dena21,10,12,1062.6
dena21,11,12,1078.1
dena21,12,12,1065.6
dena21,13,12,1045.8
dena21,14,12,1020.5
dena21,15,12,1018.8
dena21,16,12,1036.0
dena21,17,12,1094.0
dena21,18,12,1087.8
dena21,19,12,1048.6
dena21,20,12,978.6
dena21,21,12,938.8
dena21,22,12,920.3
dena21,23,12,856.6
dena21,24,12,801.2
dena21,1,13,763.7
dena21,2,13,741.4
dena21,3,13,742.2
dena21,4,13,748.2
dena21,5,13,740.9
dena21,6,13,740.3
dena21,7,13,791.5
dena21,8,13,846.2
dena21,9,13,883.8
dena21,10,13,912.0
dena21,11,13,923.8
dena21,12,13,906.9
dena21,13,13,872.3
dena21,14,13,832.4
dena21,15,13,824.8
dena21,16,13,833.7
dena21,17,13,905.7
dena21,18,13,914.2
dena21,19,13,880.0
dena21,20,13,818.9
dena21,21,13,791.2
dena21,22,13,796.1
dena21,23,13,744.3
dena21,24,13,691.4
dena21,1,14,660.6
dena21,2,14,652.8
dena21,3,14,654.5
dena21,4,14,668.4
dena21,5,14,660.4
dena21,6,14,636.3
dena21,7,14,657.4
dena21,8,14,694.1
dena21,9,14,739.3
dena21,10,14,784.5
dena21,11,14,822.8
dena21,12,14,813.3
dena21,13,14,778.6
dena21,14,14,749.1
dena21,15,14,739.8
dena21,16,14,754.8
dena21,17,14,848.9
dena21,18,14,891.6
dena21,19,14,878.3
dena21,20,14,840.9
dena21,21,14,828.2
dena21,22,14,832.2
dena21,23,14,775.0
dena21,24,14,729.5
dena21,1,15,703.7
dena21,2,15,694.8
dena21,3,15,698.4
dena21,4,15,716.4
dena21,5,15,755.6
dena21,6,15,876.8
dena21,7,15,1003.7
dena21,8,15,1037.2
dena21,9,15,1023.0
dena21,10,15,1028.1
dena21,11,15,1040.2
dena21,12,15,1029.0
dena21,13,15,1019.7
dena21,14,15,1005.7
dena21,15,15,993.2
dena21,16,15,1005.0
dena21,17,15,1086.2
dena21,18,15,1091.8
dena21,19,15,1059.5
dena21,20,15,990.0
dena21,21,15,942.1
dena21,22,15,909.6
dena21,23,15,833.4
dena21,24,15,778.4
dena21,1,16,747.5
dena21,2,16,734.5
dena21,3,16,738.1
dena21,4,16,756.9
dena21,5,16,799.1
dena21,6,16,910.4
dena21,7,16,1024.2
dena21,8,16,1055.1
dena21,9,16,1046.2
dena21,10,16,1053.9
dena21,11,16,1069.6
dena21,12,16,1057.1
dena21,13,16,1045.6
dena21,14,16,1035.7
dena21,15,16,1028.4
dena21,16,16,1035.3
dena21,17,16,1090.7
dena21,18,16,1094.0
dena21,19,16,1057.9
dena21,20,16,993.7
dena21,21,16,950.6
dena21,22,16,911.4
dena21,23,16,827.4
dena21,24,16,763.7
dena21,1,17,724.6
dena21,2,17,706.4
dena21,3,17,714.7
dena21,4,17,742.1
dena21,5,17,783.2
dena21,6,17,900.0
dena21,7,17,1023.1
dena21,8,17,1056.1
dena21,9,17,1046.1
dena21,10,17,1058.6
dena21,11,17,1073.8
dena21,12,17,1067.1
dena21,13,17,1061.2
dena21,14,17,1047.0
dena21,15,17,1043.5
dena21,16,17,1055.2
dena21,17,17,1114.8
dena21,18,17,1123.3
dena21,19,17,1088.5
dena21,20,17,1029.5
dena21,21,17,989.2
dena21,22,17,952.5
dena21,23,17,860.6
dena21,24,17,786.4
dena21,1,18,741.7
dena21,2,18,718.1
dena21,3,18,727.0
dena21,4,18,736.0
dena21,5,18,773.7
dena21,6,18,886.7
dena21,7,18,1002.8
dena21,8,18,1037.8
dena21,9,18,1043.9
dena21,10,18,1068.8
dena21,11,18,1099.3
dena21,12,18,1103.6
dena21,13,18,1101.9
dena21,14,18,1093.4
dena21,15,18,1084.5
dena21,16,18,1075.4
dena21,17,18,1108.4
dena21,18,18,1079.3
dena21,19,18,1022.3
dena21,20,18,953.5
dena21,21,18,899.5
dena21,22,18,861.3
dena21,23,18,779.5
dena21,24,18,735.5
dena21,1,19,711.8
dena21,2,19,707.0
dena21,3,19,719.1
dena21,4,19,745.7
dena21,5,19,781.6
dena21,6,19,883.6
dena21,7,19,1007.5
dena21,8,19,1042.5
dena21,9,19,1046.7
dena21,10,19,1062.8
dena21,11,19,1084.2
dena21,12,19,1072.1
dena21,13,19,1049.9
dena21,14,19,1027.1
dena21,15,19,1018.6
dena21,16,19,1021.1
dena21,17,19,1084.7
dena21,18,19,1090.2
dena21,19,19,1043.2
dena21,20,19,967.4
dena21,21,19,918.8
dena21,22,19,896.2
dena21,23,19,822.5
dena21,24,19,748.4
dena21,1,20,699.3
dena21,2,20,675.3
dena21,3,20,673.9
dena21,4,20,684.9
dena21,5,20,681.1
dena21,6,20,691.7
dena21,7,20,753.6
dena21,8,20,826.6
dena21,9,20,874.6
dena21,10,20,905.9
dena21,11,20,929.4
dena21,12,20,916.9
dena21,13,20,887.5
dena21,14,20,861.9
dena21,15,20,858.9
dena21,16,20,870.7
dena21,17,20,940.1
dena21,18,20,954.5
dena21,19,20,911.9
dena21,20,20,846.2
dena21,21,20,816.8
dena21,22,20,816.1
dena21,23,20,762.7
dena21,24,20,706.3
dena21,1,21,667.4
dena21,2,21,655.1
dena21,3,21,659.7
dena21,4,21,667.9
dena21,5,21,657.2
dena21,6,21,628.1
dena21,7,21,645.7
dena21,8,21,685.0
dena21,9,21,735.5
dena21,10,21,786.9
dena21,11,21,834.2
dena21,12,21,824.1
dena21,13,21,789.6
dena21,14,21,759.7
dena21,15,21,758.0
dena21,16,21,776.8
dena21,17,21,860.7
dena21,18,21,902.3
dena21,19,21,882.9
dena21,20,21,841.5
dena21,21,21,827.9
dena21,22,21,836.0
dena21,23,21,779.2
dena21,24,21,735.7
dena21,1,22,706.3
dena21,2,22,695.5
dena21,3,22,707.8
dena21,4,22,728.8
dena21,5,22,776.9
dena21,6,22,892.6
dena21,7,22,1009.0
dena21,8,22,1041.9
dena21,9,22,1038.7
dena21,10,22,1056.7
dena21,11,22,1073.2
dena21,12,22,1065.1
dena21,13,22,1059.8
dena21,14,22,1050.0
dena21,15,22,1041.0
dena21,16,22,1037.5
dena21,17,22,1094.1
dena21,18,22,1101.8
dena21,19,22,1066.6
dena21,20,22,993.2
dena21,21,22,945.1
dena21,22,22,917.9
dena21,23,22,837.7
dena21,24,22,790.1
dena21,1,23,762.3
dena21,2,23,748.0
dena21,3,23,748.1
dena21,4,23,760.9
dena21,5,23,794.9
dena21,6,23,896.9
dena21,7,23,1008.1
dena21,8,23,1026.3
dena21,9,23,1021.5
dena21,10,23,1033.3
dena21,11,23,1045.4
dena21,12,23,1039.5
dena21,13,23,1036.7
dena21,14,23,1029.0
dena21,15,23,1015.8
dena21,16,23,1016.5
dena21,17,23,1078.9
dena21,18,23,1090.8
dena21,19,23,1059.9
dena21,20,23,999.9
dena21,21,23,961.0
dena21,22,23,938.5
dena21,23,23,875.9
dena21,24,23,831.7
dena21,1,24,803.3
dena21,2,24,780.2
dena21,3,24,771.4
dena21,4,24,779.4
dena21,5,24,812.8
dena21,6,24,911.8
dena21,7,24,1020.3
dena21,8,24,1043.9
dena21,9,24,1043.0
dena21,10,24,1054.6
dena21,11,24,1068.5
dena21,12,24,1058.9
dena21,13,24,1055.6
dena21,14,24,1043.4
dena21,15,24,1030.5
dena21,16,24,1024.8
dena21,17,24,1094.7
dena21,18,24,1110.6
dena21,19,24,1082.3
dena21,20,24,1018.1
dena21,21,24,985.7
dena21,22,24,965.7
dena21,23,24,906.0
dena21,24,24,861.5
dena21,1,25,828.9
dena21,2,25,807.8
dena21,3,25,792.4
dena21,4,25,788.2
dena21,5,25,819.9
dena21,6,25,924.8
dena21,7,25,1027.3
dena21,8,25,1042.3
dena21,9,25,1036.9
dena21,10,25,1043.2
dena21,11,25,1057.3
dena21,12,25,1050.4
dena21,13,25,1046.8
dena21,14,25,1035.0
dena21,15,25,1021.1
dena21,16,25,1013.4
dena21,17,25,1079.0
dena21,18,25,1100.6
dena21,19,25,1070.1
dena21,20,25,1012.1
dena21,21,25,969.7
dena21,22,25,953.1
dena21,23,25,900.3
dena21,24,25,865.6
dena21,1,26,838.9
dena21,2,26,816.9
dena21,3,26,808.3
dena21,4,26,818.2
dena21,5,26,847.7
dena21,6,26,947.3
dena21,7,26,1056.9
dena21,8,26,1088.2
dena21,9,26,1093.2
dena21,10,26,1106.1
dena21,11,26,1119.1
dena21,12,26,1114.4
dena21,13,26,1097.0
dena21,14,26,1077.0
dena21,15,26,1066.4
dena21,16,26,1074.7
dena21,17,26,1130.7
dena21,18,26,1132.5
dena21,19,26,1088.6
dena21,20,26,1025.9
dena21,21,26,989.6
dena21,22,26,974.2
dena21,23,26,933.8
dena21,24,26,885.6
dena21,1,27,846.5
dena21,2,27,810.6
dena21,3,27,793.2
dena21,4,27,776.6
dena21,5,27,758.1
dena21,6,27,745.8
dena21,7,27,794.0
dena21,8,27,836.4
dena21,9,27,881.1
dena21,10,27,915.0
dena21,11,27,934.3
dena21,12,27,920.1
dena21,13,27,886.7
dena21,14,27,854.4
dena21,15,27,841.6
dena21,16,27,845.2
dena21,17,27,917.5
dena21,18,27,947.3
dena21,19,27,906.7
dena21,20,27,849.4
dena21,21,27,829.2
dena21,22,27,847.7
dena21,23,27,801.0
dena21,24,27,759.8
dena21,1,28,723.5
dena21,2,28,702.8
dena21,3,28,699.5
dena21,4,28,702.4
dena21,5,28,686.9
dena21,6,28,651.1
dena21,7,28,672.5
dena21,8,28,715.7
dena21,9,28,773.8
dena21,10,28,823.6
dena21,11,28,867.7
dena21,12,28,868.1
dena21,13,28,841.9
dena21,14,28,824.3
dena21,15,28,817.1
dena21,16,28,827.8
dena21,17,28,892.9
dena21,18,28,924.6
dena21,19,28,904.2
dena21,20,28,872.1
dena21,21,28,866.5
dena21,22,28,887.0
dena21,23,28,843.1
dena21,24,28,802.4
dena21,1,29,768.9
dena21,2,29,753.6
dena21,3,29,755.6
dena21,4,29,770.3
dena21,5,29,803.8
dena21,6,29,915.4
dena21,7,29,1027.5
dena21,8,29,1057.6
dena21,9,29,1058.2
dena21,10,29,1072.8
dena21,11,29,1082.1
dena21,12,29,1074.5
dena21,13,29,1068.4
dena21,14,29,1052.6
dena21,15,29,1033.1
dena21,16,29,1015.0
dena21,17,29,1071.2
dena21,18,29,1088.0
dena21,19,29,1052.9
dena21,20,29,990.5
dena21,21,29,950.4
dena21,22,29,926.5
dena21,23,29,851.2
dena21,24,29,801.2
dena21,1,30,771.7
dena21,2,30,760.4
dena21,3,30,772.9
dena21,4,30,796.9
dena21,5,30,830.0
dena21,6,30,937.8
dena21,7,30,1043.4
dena21,8,30,1067.5
dena21,9,30,1060.7
dena21,10,30,1069.8
dena21,11,30,1083.2
dena21,12,30,1074.1
dena21,13,30,1062.9
dena21,14,30,1048.9
dena21,15,30,1033.6
dena21,16,30,1025.0
dena21,17,30,1075.8
dena21,18,30,1095.2
dena21,19,30,1058.8
dena21,20,30,995.0
dena21,21,30,948.7
dena21,22,30,922.9
dena21,23,30,849.9
dena21,24,30,787.4
dena21,1,31,759.3
dena21,2,31,743.1
dena21,3,31,755.9
dena21,4,31,775.2
dena21,5,31,818.6
dena21,6,31,927.7
dena21,7,31,1037.5
dena21,8,31,1061.6
dena21,9,31,1065.5
dena21,10,31,1081.3
dena21,11,31,1100.2
dena21,12,31,1093.6
dena21,13,31,1090.6
dena21,14,31,1078.7
dena21,15,31,1067.6
dena21,16,31,1063.4
dena21,17,31,1111.9
dena21,18,31,1141.5
dena21,19,31,1112.9
dena21,20,31,1042.4
dena21,21,31,999.7
dena21,22,31,972.3
dena21,23,31,897.4
dena21,24,31,787.7
dena21,1,32,757.5
dena21,2,32,743.8
dena21,3,32,744.2
dena21,4,32,758.2
dena21,5,32,793.5
dena21,6,32,889.7
dena21,7,32,997.2
dena21,8,32,1023.0
dena21,9,32,1021.2
dena21,10,32,1032.2
dena21,11,32,1047.2
dena21,12,32,1034.8
dena21,13,32,1025.7
dena21,14,32,1011.1
dena21,15,32,1002.4
dena21,16,32,994.6
dena21,17,32,1049.8
dena21,18,32,1073.7
dena21,19,32,1039.3
dena21,20,32,987.1
dena21,21,32,942.9
dena21,22,32,917.9
dena21,23,32,844.9
dena21,24,32,781.0
dena21,1,33,750.8
dena21,2,33,732.8
dena21,3,33,738.7
dena21,4,33,750.4
dena21,5,33,789.6
dena21,6,33,888.7
dena21,7,33,996.1
dena21,8,33,1026.6
dena21,9,33,1028.0
dena21,10,33,1039.6
dena21,11,33,1053.9
dena21,12,33,1043.3
dena21,13,33,1024.0
dena21,14,33,1010.6
dena21,15,33,999.6
dena21,16,33,995.9
dena21,17,33,1047.9
dena21,18,33,1063.3
dena21,19,33,1024.9
dena21,20,33,954.0
dena21,21,33,916.0
dena21,22,33,898.9
dena21,23,33,834.2
dena21,24,33,783.2
dena21,1,34,744.9
dena21,2,34,726.5
dena21,3,34,721.9
dena21,4,34,722.0
dena21,5,34,718.6
dena21,6,34,718.0
dena21,7,34,775.4
dena21,8,34,823.0
dena21,9,34,866.1
dena21,10,34,885.0
dena21,11,34,895.5
dena21,12,34,879.9
dena21,13,34,851.4
dena21,14,34,827.6
dena21,15,34,819.6
dena21,16,34,820.7
dena21,17,34,885.6
dena21,18,34,928.9
dena21,19,34,889.8
dena21,20,34,833.7
dena21,21,34,801.9
dena21,22,34,810.9
dena21,23,34,757.8
dena21,24,34,703.1
dena21,1,35,663.0
dena21,2,35,646.1
dena21,3,35,639.1
dena21,4,35,634.8
dena21,5,35,619.3
dena21,6,35,588.5
dena21,7,35,617.6
dena21,8,35,666.4
dena21,9,35,717.3
dena21,10,35,757.4
dena21,11,35,796.0
dena21,12,35,783.4
dena21,13,35,748.0
dena21,14,35,717.4
dena21,15,35,700.2
dena21,16,35,703.7
dena21,17,35,770.3
dena21,18,35,847.6
dena21,19,35,846.8
dena21,20,35,804.2
dena21,21,35,790.9
dena21,22,35,817.1
dena21,23,35,774.4
dena21,24,35,731.9
dena21,1,36,707.9
dena21,2,36,694.5
dena21,3,36,691.7
dena21,4,36,703.6
dena21,5,36,739.5
dena21,6,36,832.3
dena21,7,36,931.6
dena21,8,36,969.4
dena21,9,36,976.1
dena21,10,36,1004.6
dena21,11,36,1031.2
dena21,12,36,1022.3
dena21,13,36,1006.5
dena21,14,36,994.6
dena21,15,36,983.7
dena21,16,36,971.8
dena21,17,36,1024.0
dena21,18,36,1048.4
dena21,19,36,1019.8
dena21,20,36,964.3
dena21,21,36,928.6
dena21,22,36,911.8
dena21,23,36,837.1
dena21,24,36,780.4
dena21,1,37,747.4
dena21,2,37,735.3
dena21,3,37,738.5
dena21,4,37,756.7
dena21,5,37,793.6
dena21,6,37,896.1
dena21,7,37,1006.7
dena21,8,37,1032.0
dena21,9,37,1030.2
dena21,10,37,1043.1
dena21,11,37,1055.1
dena21,12,37,1050.1
dena21,13,37,1037.7
dena21,14,37,1027.8
dena21,15,37,1018.7
dena21,16,37,1000.4
dena21,17,37,1049.6
dena21,18,37,1087.9
dena21,19,37,1057.6
dena21,20,37,997.2
dena21,21,37,957.9
dena21,22,37,936.4
dena21,23,37,867.6
dena21,24,37,815.3
dena21,1,38,785.4
dena21,2,38,775.9
dena21,3,38,777.2
dena21,4,38,790.3
dena21,5,38,820.5
dena21,6,38,924.1
dena21,7,38,1025.4
dena21,8,38,1055.1
dena21,9,38,1056.2
dena21,10,38,1068.0
dena21,11,38,1078.5
dena21,12,38,1068.4
dena21,13,38,1060.9
dena21,14,38,1046.7
dena21,15,38,1035.0
dena21,16,38,1022.2
dena21,17,38,1067.3
dena21,18,38,1096.4
dena21,19,38,1061.2
dena21,20,38,998.8
dena21,21,38,957.5
dena21,22,38,933.7
dena21,23,38,860.4
dena21,24,38,805.9
dena21,1,39,773.6
dena21,2,39,758.4
dena21,3,39,760.9
dena21,4,39,775.9
dena21,5,39,812.4
dena21,6,39,916.6
dena21,7,39,1014.2
dena21,8,39,1038.7
dena21,9,39,1040.6
dena21,10,39,1057.0
dena21,11,39,1078.0
dena21,12,39,1070.8
dena21,13,39,1063.4
dena21,14,39,1053.2
dena21,15,39,1035.0
dena21,16,39,1013.3
dena21,17,39,1056.1
dena21,18,39,1098.5
dena21,19,39,1072.0
dena21,20,39,1016.5
dena21,21,39,975.7
dena21,22,39,953.5
dena21,23,39,880.5
dena21,24,39,832.0
dena21,1,40,796.0
dena21,2,40,780.8
dena21,3,40,787.7
dena21,4,40,803.8
dena21,5,40,831.1
dena21,6,40,932.1
dena21,7,40,1021.6
dena21,8,40,1049.0
dena21,9,40,1045.2
dena21,10,40,1055.9
dena21,11,40,1069.5
dena21,12,40,1053.4
dena21,13,40,1025.4
dena21,14,40,1006.9
dena21,15,40,990.7
dena21,16,40,979.6
dena21,17,40,1023.6
dena21,18,40,1066.4
dena21,19,40,1030.3
dena21,20,40,960.4
dena21,21,40,921.4
dena21,22,40,913.3
dena21,23,40,852.3
dena21,24,40,798.4
dena21,1,41,766.3
dena21,2,41,747.3
dena21,3,41,739.1
dena21,4,41,738.1
dena21,5,41,729.6
dena21,6,41,734.3
dena21,7,41,784.7
dena21,8,41,833.9
dena21,9,41,872.3
dena21,10,41,900.6
dena21,11,41,914.9
dena21,12,41,902.3
dena21,13,41,876.1
dena21,14,41,853.4
dena21,15,41,841.5
dena21,16,41,845.7
dena21,17,41,913.5
dena21,18,41,946.3
dena21,19,41,908.6
dena21,20,41,842.2
dena21,21,41,812.6
dena21,22,41,822.0
dena21,23,41,768.6
dena21,24,41,715.5
dena21,1,42,678.9
dena21,2,42,655.1
dena21,3,42,647.6
dena21,4,42,646.3
dena21,5,42,627.2
dena21,6,42,595.8
dena21,7,42,616.8
dena21,8,42,663.4
dena21,9,42,720.2
dena21,10,42,771.7
dena21,11,42,819.3
dena21,12,42,806.3
dena21,13,42,772.0
dena21,14,42,735.3
dena21,15,42,726.0
dena21,16,42,725.7
dena21,17,42,788.1
dena21,18,42,858.6
dena21,19,42,846.5
dena21,20,42,800.7
dena21,21,42,784.9
dena21,22,42,805.1
dena21,23,42,753.0
dena21,24,42,697.6
dena21,1,43,666.6
dena21,2,43,655.8
dena21,3,43,663.8
dena21,4,43,684.7
dena21,5,43,724.7
dena21,6,43,820.3
dena21,7,43,919.3
dena21,8,43,961.6
dena21,9,43,983.5
dena21,10,43,1010.8
dena21,11,43,1045.0
dena21,12,43,1021.8
dena21,13,43,1007.3
dena21,14,43,984.5
dena21,15,43,969.7
dena21,16,43,954.0
dena21,17,43,990.9
dena21,18,43,1041.8
dena21,19,43,1018.1
dena21,20,43,954.3
dena21,21,43,913.2
dena21,22,43,892.7
dena21,23,43,813.1
dena21,24,43,753.3
dena21,1,44,718.1
dena21,2,44,707.4
dena21,3,44,714.4
dena21,4,44,737.8
dena21,5,44,777.5
dena21,6,44,886.5
dena21,7,44,997.0
dena21,8,44,1023.3
dena21,9,44,1027.1
dena21,10,44,1043.7
dena21,11,44,1061.4
dena21,12,44,1045.4
dena21,13,44,1039.5
dena21,14,44,1024.0
dena21,15,44,1007.0
dena21,16,44,990.0
dena21,17,44,1029.7
dena21,18,44,1082.6
dena21,19,44,1052.5
dena21,20,44,988.6
dena21,21,44,941.5
dena21,22,44,918.4
dena21,23,44,842.1
dena21,24,44,777.9
dena21,1,45,747.1
dena21,2,45,736.4
dena21,3,45,742.6
dena21,4,45,763.3
dena21,5,45,794.8
dena21,6,45,890.2
dena21,7,45,987.6
dena21,8,45,1011.7
dena21,9,45,1014.8
dena21,10,45,1028.6
dena21,11,45,1044.7
dena21,12,45,1033.5
dena21,13,45,1034.3
dena21,14,45,1026.7
dena21,15,45,1012.9
dena21,16,45,1002.3
dena21,17,45,1040.5
dena21,18,45,1083.3
dena21,19,45,1051.3
dena21,20,45,990.8
dena21,21,45,932.1
dena21,22,45,908.9
dena21,23,45,828.1
dena21,24,45,770.7
dena21,1,46,730.4
dena21,2,46,717.4
dena21,3,46,719.9
dena21,4,46,738.1
dena21,5,46,779.6
dena21,6,46,885.6
dena21,7,46,989.3
dena21,8,46,1014.7
dena21,9,46,1018.1
dena21,10,46,1027.5
dena21,11,46,1039.5
dena21,12,46,1022.8
dena21,13,46,1009.6
dena21,14,46,991.5
dena21,15,46,979.2
dena21,16,46,968.2
dena21,17,46,1002.3
dena21,18,46,1069.0
dena21,19,46,1047.1
dena21,20,46,981.0
dena21,21,46,934.3
dena21,22,46,910.9
dena21,23,46,843.0
dena21,24,46,784.8
dena21,1,47,752.3
dena21,2,47,742.8
dena21,3,47,748.5
dena21,4,47,760.0
dena21,5,47,792.0
dena21,6,47,877.9
dena21,7,47,965.0
dena21,8,47,990.0
dena21,9,47,996.1
dena21,10,47,1004.0
dena21,11,47,1011.9
dena21,12,47,995.3
dena21,13,47,975.9
dena21,14,47,952.5
dena21,15,47,937.2
dena21,16,47,928.3
dena21,17,47,974.3
dena21,18,47,1046.3
dena21,19,47,1019.2
dena21,20,47,941.2
dena21,21,47,890.0
dena21,22,47,881.9
dena21,23,47,825.9
dena21,24,47,764.2
dena21,1,48,726.5
dena21,2,48,708.9
dena21,3,48,705.4
dena21,4,48,710.5
dena21,5,48,704.9
